title,location,url,section_header_style,about_label,impact_label,fit_label,word_count,li_total,ul_count,empty_paragraphs,br_tags,inline_styles,em_or_i_count,preamble_present
"Public Safety Strategist (West Coast, Midwest, or Pacific North West)",US Remote - Full-time,https://www.skydio.com/jobs/3a694691-50c2-43cf-b969-f40bad1d9e39/?gh_jid=3a694691-50c2-43cf-b969-f40bad1d9e39,p>strong,About the Role,How You’ll Make an Impact,What Makes You a Good Fit,617,28,5,0,0,0,0,True
RF Design Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/f72f1fa5-d3d6-459e-8722-a94ce92ad1c8/?gh_jid=f72f1fa5-d3d6-459e-8722-a94ce92ad1c8,p>strong,About the Role,How You’ll Make an Impact,What Makes You a Good Fit,391,19,2,0,0,0,0,True
Sales Planning Analyst Intern,"San Mateo, California, United States - Intern",https://www.skydio.com/jobs/712900e5-ff75-4e07-8f88-626d4f8ab653/?gh_jid=712900e5-ff75-4e07-8f88-626d4f8ab653,p>strong,"About the Role: As a Sales Planning Analyst Intern (SPA), yo…","About the Role: As a Sales Planning Analyst Intern (SPA), yo…","About the Role: As a Sales Planning Analyst Intern (SPA), yo…",409,18,2,1,1,0,0,True
Senior Autonomy Engineer - Controls,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/58b4cdf6-5630-4dd0-aab3-a1ed4d599466/?gh_jid=58b4cdf6-5630-4dd0-aab3-a1ed4d599466,p>strong,About the Role,How You’ll Make an Impact,What Makes You a Good Fit,245,9,3,0,0,0,0,True
Senior Autonomy Engineer - Deep Learning,"Zurich, Switzerland - Full-time",https://www.skydio.com/jobs/4ded3e5e-cdfe-4dc5-bbaf-0d3023521246/?gh_jid=4ded3e5e-cdfe-4dc5-bbaf-0d3023521246,p>strong,About the role: Learning a semantic and geometric understand…,About the role: Learning a semantic and geometric understand…,What makes you a good fit,428,13,2,0,3,0,0,True
Senior Autonomy Engineer - Deep Learning,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/a6421d3e-fdd0-48d6-8d8f-3fd605cdf09f/?gh_jid=a6421d3e-fdd0-48d6-8d8f-3fd605cdf09f,p>strong,About the role: Learning a semantic and geometric understand…,About the role: Learning a semantic and geometric understand…,What makes you a good fit,314,13,2,1,2,0,0,True
Senior Customer Support Representative - India,"Bangalore, India - Full-time",https://www.skydio.com/jobs/bb7a9c5c-8dbb-4a2f-9d7d-db9ab1f707b0/?gh_jid=bb7a9c5c-8dbb-4a2f-9d7d-db9ab1f707b0,p>strong,About the role,"Location Preference: This role is based in Bengaluru, India,…",What would make you a good fit,614,22,3,1,0,0,0,True
"Senior Director, Product Management, Drone as First Responder (DFR)","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/7ef6359b-6454-4f91-871f-b33961585086/?gh_jid=7ef6359b-6454-4f91-871f-b33961585086,p>strong,About the role: As the Senior Director of Product Management…,About the role: As the Senior Director of Product Management…,What makes you a good fit,602,20,3,0,2,0,0,True
"Senior Engineering Manager, Infrastructure","San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/3e7fb209-7973-4b5e-bf3e-b9a8a1f390eb/?gh_jid=3e7fb209-7973-4b5e-bf3e-b9a8a1f390eb,p>strong,"About the role: Skydio is building a secure, globally distri…","About the role: Skydio is building a secure, globally distri…","About the role: Skydio is building a secure, globally distri…",493,18,3,0,0,0,0,True
Senior Hardware Test and Reliability Engineer,"San Mateo, California, United States - Full-time",https://www.skydio.com/jobs/c0e49670-51ca-461c-b0e2-4a06df01f692/?gh_jid=c0e49670-51ca-461c-b0e2-4a06df01f692,p>strong,About the role,How you will make an impact,Useful skills and experience,539,12,2,0,0,0,0,True
